Model,LR,Batch Size,Epochs,Train Loss,Train RMSE,Train MAE,Train R2,Val Loss,Val RMSE,Val MAE,Val R2,Test Loss,Test RMSE,Test MAE,Test R2,Training Time
distilbert,1e-06,16,2,8719.468002319336,15.988322,15.93931,-240.09983797473933,284.54188537597656,16.880543,16.857162,-360.2537658571394,284.0159962972005,16.865082,16.837769,-308.00360269139645,
distilbert,1e-06,16,2,8719.468002319336,15.988322,15.93931,-240.09983797473933,284.54188537597656,16.880543,16.857162,-360.2537658571394,284.0159962972005,16.865082,16.837769,-308.00360269139645,54.809365034103394
distilbert,1e-06,32,1,4352.483459472656,16.00218,15.957713,-240.51800288072013,286.0309295654297,16.875193,16.851807,-360.0248408464272,284.7683970133464,16.859734,16.83241,-307.8076493880603,
distilbert,1e-06,32,1,4352.483459472656,16.00218,15.957713,-240.51800288072013,286.0309295654297,16.875193,16.851807,-360.0248408464272,284.7683970133464,16.859734,16.83241,-307.8076493880603,492.8191351890564
distilbert,1e-06,32,2,4330.487289428711,15.962767,15.917137,-239.32972729703397,285.85036214192706,16.869852,16.846457,-359.7963485098208,284.5882212320964,16.854393,16.827065,-307.61207067062537,
distilbert,1e-06,32,2,4330.487289428711,15.962767,15.917137,-239.32972729703397,285.85036214192706,16.869852,16.846457,-359.7963485098208,284.5882212320964,16.854393,16.827065,-307.61207067062537,973.2529797554016
bert,0.01,16,1,110.57659429311752,1.8065695,1.1512983,-2.078225419983268,2.5006083250045776,1.5576451,1.376613,-2.075930561590316,2.569309175014496,1.5900182,1.388406,-1.7465705210036018,
bert,0.01,16,1,110.57659429311752,1.8065695,1.1512983,-2.078225419983268,2.5006083250045776,1.5576451,1.376613,-2.075930561590316,2.569309175014496,1.5900182,1.388406,-1.7465705210036018,56.10219120979309
bert,0.01,16,2,38.74633648991585,1.1632482,0.49835822,-0.2762504845585141,0.7968538155158361,0.9160265,0.5085656,-0.06378925539569602,0.9357446680466334,0.9898822,0.5536989,-0.06451952311516163,
bert,0.01,16,2,38.74633648991585,1.1632482,0.49835822,-0.2762504845585141,0.7968538155158361,0.9160265,0.5085656,-0.06378925539569602,0.9357446680466334,0.9898822,0.5536989,-0.06451952311516163,96.12300610542297
bert,0.01,32,1,140.3304141163826,2.8814414,1.683706,-6.830882478605013,2.748516400655111,1.6204996,1.5268022,-2.3291813995714854,2.8310807148615518,1.6764892,1.5927197,-2.053431478000767,
bert,0.01,32,1,140.3304141163826,2.8814414,1.683706,-6.830882478605013,2.748516400655111,1.6204996,1.5268022,-2.3291813995714854,2.8310807148615518,1.6764892,1.5927197,-2.053431478000767,1160.930669784546
bert,0.01,32,2,1652.454330444336,9.6413145,9.449053,-86.67254952897004,100.85150909423828,10.001138,9.961624,-125.8055839388802,100.16867701212566,9.9921665,9.945973,-107.46908420214388,
bert,0.01,32,2,1652.454330444336,9.6413145,9.449053,-86.67254952897004,100.85150909423828,10.001138,9.961624,-125.8055839388802,100.16867701212566,9.9921665,9.945973,-107.46908420214388,2429.9720571041107
bert,1e-06,16,1,3298.995445251465,9.85078,9.793189,-90.52344291616136,99.61670112609863,9.993928,9.954387,-125.62282738316927,99.43082364400227,9.985003,9.938775,-107.31362143666202,
bert,1e-06,16,1,3298.995445251465,9.85078,9.793189,-90.52344291616136,99.61670112609863,9.993928,9.954387,-125.62282738316927,99.43082364400227,9.985003,9.938775,-107.31362143666202,58.00340676307678
bert,1e-06,16,2,3295.691566467285,9.844026,9.786455,-90.39796770739684,99.47240193684895,9.986698,9.947128,-125.4396883955642,99.287535349528,9.97782,9.931557,-107.1578331294722,
bert,1e-06,16,2,3295.691566467285,9.844026,9.786455,-90.39796770739684,99.47240193684895,9.986698,9.947128,-125.4396883955642,99.287535349528,9.97782,9.931557,-107.1578331294722,96.56240630149841
bert,1e-06,32,1,1643.3438262939453,9.832062,9.77569,-90.1759529775317,100.41589991251628,9.979404,9.939805,-125.2550632057212,99.736878712972,9.970572,9.9242735,-107.00077759543123,
bert,1e-06,32,1,1643.3438262939453,9.832062,9.77569,-90.1759529775317,100.41589991251628,9.979404,9.939805,-125.2550632057212,99.736878712972,9.970572,9.9242735,-107.00077759543123,1109.239040851593
bert,1e-06,32,2,1643.0171661376953,9.829436,9.772556,-90.12727519092665,100.26933670043945,9.972081,9.932451,-125.06983242258794,99.59159342447917,9.963297,9.916963,-106.8432024493829,
bert,1e-06,32,2,1643.0171661376953,9.829436,9.772556,-90.12727519092665,100.26933670043945,9.972081,9.932451,-125.06983242258794,99.59159342447917,9.963297,9.916963,-106.8432024493829,2444.113608121872
